Checkpoint,Time (s),Packets Received,Missing Packets,Goodput (%),Packet Rate (pkts/s)
480,2.5,480001,2787,99.42,186604.26
481,2.51,481003,2797,99.42,194785.53
482,2.51,482003,2801,99.42,200033.57
483,2.52,483000,2808,99.42,191146.92
484,2.52,484000,2820,99.42,187379.56
485,2.53,485001,2827,99.42,202581.34
486,2.53,486003,2837,99.42,189986.56
487,2.54,487001,2843,99.42,179915.56
488,2.54,488002,2846,99.42,200119.08
489,2.55,489000,2852,99.42,192926.0
490,2.55,490003,2857,99.42,183170.94
491,2.56,491000,2860,99.42,196214.39
492,2.56,492003,2869,99.42,199605.57
493,2.57,493003,2873,99.42,188711.6
494,2.57,494000,2880,99.42,192848.23
495,2.58,495000,2884,99.42,202633.17
496,2.58,496000,2888,99.42,187337.71
497,2.59,497003,2893,99.42,191561.72
498,2.6,498000,2896,99.42,186767.36
499,2.6,499000,2900,99.42,180703.29
500,2.61,500000,2904,99.42,182020.74
501,2.61,501001,2911,99.42,204694.96
502,2.62,502002,2914,99.42,196246.53
503,2.62,503000,2916,99.42,188758.81
504,2.63,504003,2917,99.42,196739.79
505,2.63,505003,2925,99.42,187824.28
506,2.64,506002,2930,99.42,189864.05
507,2.64,507001,2939,99.42,197814.64
508,2.65,508003,2945,99.42,199359.26
509,2.65,509001,2951,99.42,185513.0
510,2.66,510003,2957,99.42,155557.34
511,2.66,511001,2959,99.42,207367.25
512,2.67,512002,2966,99.42,159372.09
513,2.67,513003,2977,99.42,224170.98
514,2.68,514001,2979,99.42,190606.78
515,2.69,515002,2986,99.42,180324.63
516,2.69,516001,2991,99.42,188709.68
517,2.7,517000,2996,99.42,177036.91
518,2.7,518006,2998,99.42,174099.27
519,2.71,519003,3001,99.43,181869.31
520,2.71,520000,3008,99.42,187908.74
521,2.72,521002,3014,99.42,190244.56
522,2.72,522000,3016,99.43,183319.41
523,2.73,523003,3025,99.42,196970.08
524,2.73,524003,3029,99.43,196004.67
525,2.74,525003,3037,99.42,188779.55
526,2.74,526000,3044,99.42,187588.42
527,2.75,527001,3051,99.42,182202.76
528,2.76,528000,3060,99.42,188455.06
529,2.76,529001,3067,99.42,187441.33
530,2.77,530001,3075,99.42,179381.75
531,2.77,531002,3082,99.42,202630.23
532,2.78,532000,3088,99.42,246592.95
533,2.78,533002,3094,99.42,239020.22
534,2.79,534002,3098,99.42,166837.87
535,2.79,535001,3103,99.42,187922.58
536,2.8,536002,3110,99.42,191799.83
537,2.8,537000,3120,99.42,190528.69
538,2.81,538002,3122,99.42,191449.19
539,2.81,539003,3133,99.42,192194.93
540,2.82,540001,3135,99.42,191085.34
541,2.82,541002,3142,99.42,186583.34
542,2.83,542000,3148,99.42,198997.64
543,2.83,543000,3160,99.42,185942.46
544,2.84,544001,3167,99.42,183773.89
545,2.84,545002,3170,99.42,188832.34
546,2.85,546003,3173,99.42,194401.92
547,2.85,547001,3175,99.42,188520.78
548,2.86,548002,3186,99.42,201967.4
549,2.86,549003,3193,99.42,203012.34
550,2.87,550003,3197,99.42,184730.41
551,2.87,551002,3206,99.42,188065.96
552,2.88,552003,3209,99.42,206914.31
553,2.88,553000,3220,99.42,191980.58
554,2.89,554001,3227,99.42,188789.89
555,2.89,555002,3234,99.42,203297.42
556,2.9,556003,3233,99.42,198145.18
557,2.91,557000,3240,99.42,187891.85
558,2.91,558001,3247,99.42,203208.86
559,2.92,559003,3249,99.42,196672.4
560,2.92,560001,3263,99.42,183923.52
561,2.93,561000,3268,99.42,205730.33
562,2.93,562002,3278,99.42,203244.64
563,2.94,563003,3289,99.42,184411.57
564,2.94,564003,3293,99.42,193383.93
565,2.95,565001,3303,99.42,205061.25
566,2.95,566000,3312,99.42,192515.95
567,2.96,567000,3316,99.42,187128.76
568,2.96,568003,3317,99.42,202624.36
569,2.96,569000,3320,99.42,269684.06
570,2.97,570001,3331,99.42,254840.56
571,2.97,571003,3333,99.42,193245.02
572,2.98,572002,3342,99.42,203048.54
573,2.98,573001,3347,99.42,194436.64
574,2.99,574000,3356,99.42,189058.78
575,2.99,575001,3359,99.42,204117.76
576,3.0,576001,3363,99.42,201979.39
577,3.0,577002,3366,99.42,183236.52
578,3.01,578001,3371,99.42,205730.33
579,3.01,579002,3374,99.42,201038.99
580,3.02,580003,3385,99.42,185536.18
581,3.02,581003,3393,99.42,198735.09
582,3.03,582002,3398,99.42,205851.62
583,3.04,583000,3408,99.42,189485.1
584,3.04,584001,3415,99.42,194970.67
585,3.05,585001,3427,99.42,194216.71
586,3.05,586003,3429,99.42,199085.39
587,3.06,587003,3433,99.42,186562.76
588,3.06,588000,3436,99.42,201257.15
589,3.07,589003,3437,99.42,194898.63
590,3.07,590000,3440,99.42,187026.3
591,3.08,591000,3444,99.42,202105.91
592,3.08,592001,3447,99.42,197390.61
593,3.09,593000,3452,99.42,183511.13
594,3.09,594003,3453,99.42,198409.99
595,3.1,595001,3463,99.42,193112.91
596,3.1,596000,3468,99.42,186169.18
597,3.11,597003,3473,99.42,191675.18
598,3.11,598003,3477,99.42,196188.03
599,3.12,599001,3479,99.42,199843.19
600,3.12,600001,3483,99.42,186745.5
601,3.13,601001,3487,99.42,198923.59
602,3.13,602001,3487,99.42,192744.08
603,3.14,603003,3493,99.42,182749.6
604,3.14,604002,3494,99.42,200723.82
605,3.15,605002,3502,99.42,197471.94
606,3.15,606003,3509,99.42,183605.12
607,3.16,607002,3514,99.42,201777.41
608,3.16,608001,3515,99.43,201196.09
609,3.17,609003,3517,99.43,189849.24
610,3.17,610001,3531,99.42,186405.21
611,3.18,611001,3531,99.43,198999.1
612,3.18,612003,3533,99.43,199094.82
613,3.19,613003,3541,99.43,186496.4
614,3.2,614003,3553,99.42,200004.96
615,3.2,615000,3560,99.42,195672.69
616,3.21,616001,3567,99.42,185651.04
617,3.21,617001,3567,99.43,202878.2
618,3.22,618003,3577,99.42,194335.18
619,3.22,619001,3583,99.42,183592.78
620,3.23,620003,3589,99.42,197671.45
621,3.23,621000,3604,99.42,195261.54
622,3.24,622002,3610,99.42,179341.67
623,3.24,623000,3616,99.42,197197.69
624,3.25,624000,3624,99.42,197741.93
625,3.25,625003,3633,99.42,193678.33
626,3.26,626002,3638,99.42,187737.34
627,3.26,627003,3641,99.42,200243.16
628,3.27,628002,3646,99.42,192339.21
629,3.27,629002,3650,99.42,187329.34
630,3.28,630000,3652,99.42,196346.7
631,3.28,631003,3657,99.42,196970.08
632,3.29,632001,3659,99.42,188410.47
633,3.29,633002,3666,99.42,197353.5
634,3.3,634003,3669,99.42,192874.78
635,3.3,635002,3678,99.42,179455.64
636,3.31,636002,3686,99.42,199207.03
637,3.31,637001,3691,99.42,195261.18
638,3.32,638003,3693,99.42,188885.06
639,3.32,639001,3699,99.42,195685.82
640,3.33,640000,3704,99.42,197079.62
641,3.34,641003,3713,99.42,190788.52
642,3.34,642003,3717,99.42,189077.4
643,3.35,643000,3724,99.42,197148.7
644,3.35,644001,3727,99.42,198023.69
645,3.36,645002,3730,99.43,186021.19
646,3.36,646000,3732,99.43,194278.07
647,3.37,647003,3741,99.43,192879.14
648,3.37,648003,3749,99.42,188254.22
649,3.38,649001,3755,99.42,194802.47
650,3.38,650002,3758,99.43,197409.17
651,3.39,651001,3763,99.43,184010.79
652,3.39,652003,3769,99.43,193023.13
653,3.4,653000,3772,99.43,194879.35
654,3.4,654003,3777,99.43,188963.16
655,3.41,655002,3782,99.43,195680.65
656,3.41,656003,3785,99.43,197251.51
657,3.42,657003,3793,99.43,192231.72
658,3.42,658002,3802,99.43,184692.1
659,3.43,659000,3804,99.43,198337.62
660,3.43,660001,3811,99.43,196228.19
661,3.44,661000,3816,99.43,182631.29
662,3.44,662003,3821,99.43,200719.83
663,3.45,663000,3824,99.43,199129.58
664,3.45,664003,3833,99.43,184028.3
665,3.46,665001,3835,99.43,199557.37
666,3.46,666002,3842,99.43,193881.24
667,3.47,667000,3848,99.43,180544.12
668,3.48,668002,3854,99.43,197857.57
